Trimestre,Estado,Ingreso en millones de dolares
01/10/2009,Baja California,7.5983
01/01/2010,Baja California,8.6622
01/04/2010,Baja California,8.5464
01/07/2010,Baja California,8.2586
01/10/2010,Baja California,8.2783
01/01/2011,Baja California,8.1083
01/04/2011,Baja California,9.3589
01/07/2011,Baja California,9.9774
01/10/2011,Baja California,9.2063
01/01/2012,Baja California,9.4402
01/04/2012,Baja California,10.6115
01/07/2012,Baja California,10.1858
01/10/2012,Baja California,11.1185
01/01/2013,Baja California,9.7651
01/04/2013,Baja California,11.1242
01/07/2013,Baja California,10.6262
01/10/2013,Baja California,14.2431
01/01/2014,Baja California,10.069
01/04/2014,Baja California,11.4266
01/07/2014,Baja California,12.1975
01/10/2014,Baja California,12.8911
01/01/2015,Baja California,11.5517
01/04/2015,Baja California,12.9243
01/07/2015,Baja California,13.3937
01/10/2015,Baja California,13.3264
01/01/2016,Baja California,12.906
01/04/2016,Baja California,14.2835
01/07/2016,Baja California,14.868
01/10/2016,Baja California,13.3286
01/01/2017,Baja California,14.9924
01/04/2017,Baja California,16.251
01/07/2017,Baja California,17.4516
01/10/2017,Baja California,17.8164
01/01/2018,Baja California,17.4431
01/04/2018,Baja California,20.0534
01/07/2018,Baja California,19.816
01/10/2018,Baja California,21.1652
01/01/2019,Baja California,19.2499
01/04/2019,Baja California,23.0141
01/07/2019,Baja California,22.9663
01/10/2019,Baja California,23.1061
01/01/2020,Baja California,22.2964
01/04/2020,Baja California,24.9397
01/07/2020,Baja California,34.8488
01/10/2020,Baja California,29.4685
01/01/2021,Baja California,29.323
01/04/2021,Baja California,34.4999
01/01/2003,Campeche,8.9093
01/04/2003,Campeche,14.2668
01/07/2003,Campeche,16.5759
01/10/2003,Campeche,11.8568
01/01/2004,Campeche,10.3901
01/04/2004,Campeche,14.048
01/07/2004,Campeche,14.939
01/10/2004,Campeche,13.924
01/01/2005,Campeche,13.129
01/04/2005,Campeche,17.4076
01/07/2005,Campeche,17.3155
01/10/2005,Campeche,17.874
01/01/2006,Campeche,18.2404
01/04/2006,Campeche,22.2706
01/07/2006,Campeche,21.4993
01/10/2006,Campeche,19.9983
01/01/2007,Campeche,18.3368
01/04/2007,Campeche,21.0857
01/07/2007,Campeche,21.4751
01/10/2007,Campeche,19.5168
01/01/2008,Campeche,16.5927
01/04/2008,Campeche,20.211
01/07/2008,Campeche,18.8467
01/10/2008,Campeche,17.1328
01/01/2009,Campeche,14.7971
01/04/2009,Campeche,14.6692
01/07/2009,Campeche,13.9402
01/10/2009,Campeche,12.4184
01/01/2010,Campeche,13.0847
01/04/2010,Campeche,14.7972
01/07/2010,Campeche,14.3003
01/10/2010,Campeche,12.8732
01/01/2011,Campeche,12.8965
01/04/2011,Campeche,15.5239
01/07/2011,Campeche,15.8585
01/10/2011,Campeche,13.5367
01/01/2012,Campeche,13.4282
01/04/2012,Campeche,15.9193
01/07/2012,Campeche,13.7413
01/10/2012,Campeche,12.532
01/01/2013,Campeche,11.612
01/04/2013,Campeche,14.5613
01/07/2013,Campeche,13.7888
01/10/2013,Campeche,14.9383
01/01/2014,Campeche,12.2982
01/04/2014,Campeche,15.1442
01/07/2014,Campeche,14.6907
01/10/2014,Campeche,13.634
01/01/2015,Campeche,12.8828
01/04/2015,Campeche,14.9061
01/07/2015,Campeche,14.904
01/10/2015,Campeche,13.8545
01/01/2016,Campeche,14.2744
01/04/2016,Campeche,16.7256
01/07/2016,Campeche,17.1889
01/10/2016,Campeche,16.9547
01/01/2017,Campeche,17.5106
01/04/2017,Campeche,19.031
01/07/2017,Campeche,19.4629
01/10/2017,Campeche,19.1638
01/01/2018,Campeche,16.9489
01/04/2018,Campeche,20.6043
01/07/2018,Campeche,20.876
01/10/2018,Campeche,20.8735
01/01/2019,Campeche,18.9125
01/04/2019,Campeche,23.7897
01/07/2019,Campeche,24.2564
01/10/2019,Campeche,21.8038
01/01/2020,Campeche,23.914
01/04/2020,Campeche,25.4014
01/07/2020,Campeche,35.3475
01/10/2020,Campeche,30.555
01/01/2021,Campeche,29.3031
01/04/2021,Campeche,37.3885
01/01/2003,Coahuila,28.9976
01/04/2003,Coahuila,34.4963
01/07/2003,Coahuila,38.9714
01/10/2003,Coahuila,37.3657
01/01/2004,Coahuila,34.7218
01/04/2004,Coahuila,45.3903
01/07/2004,Coahuila,47.8342
01/10/2004,Coahuila,52.0898
01/01/2005,Coahuila,52.1147
01/04/2005,Coahuila,62.0372
01/07/2005,Coahuila,63.0702
01/10/2005,Coahuila,63.5419
01/01/2006,Coahuila,63.4007
01/04/2006,Coahuila,73.7953
01/07/2006,Coahuila,71.7066
